,IDS,Number,deltas,full_01,133_01,104_01,102_01,61_01,56_01,VPDB etc. Deltas,VPDB etc. Deltas Error,Relative Deltas,Relative Deltas Error,M1 M+N Relative Abundance,M1 M+N Relative Abundance Error,UM1,UM1 Error,Calc U Values,Calc U Values Error
Cmethyl,C,1,-44.702837100858225,1,1,1,x,1,x,-44.702837100858225,2.1736520639170482,-15.157564021503378,2.240878416409324,0.15657007106053583,0.00036849327057203376,0.0682137045322807,1.7506162635279628e-05,0.010680222281212404,2.430143007459259e-05
Cgamma,C,1,-34.98251460960204,1,1,1,1,1,1,-34.98251460960204,3.320768052795915,-5.136612999589709,3.4234722193772313,0.15816313811468782,0.0005344969984078689,0.0682137045322807,1.7506162635279628e-05,0.010788895486664634,3.712618683025833e-05
Calphabeta,C,2,-29.917030802280852,1,1,1,1,x,1,-29.917030802280852,1.5221482625124738,0.08553525538053917,1.5692250128994554,0.3179867663201435,0.0004934753808301309,0.0682137045322807,1.7506162635279628e-05,0.021691055191261042,3.403523514977891e-05
Ccarboxyl,C,1,-25.49310297614765,1,1,x,1,x,x,-25.49310297614765,2.017378075048269,4.646285591600299,2.0797712113899665,0.15971848660690724,0.0003457704198829691,0.0682137045322807,1.7506162635279628e-05,0.010894987108726687,2.2554286879039663e-05
Ocarboxyl,O,2,-4.012283313589591,1,1,x,1,x,x,-4.012283313589591,10.612611171552004,-4.0122833135895855,10.612611171552,0.011093816522526929,0.00011658869182177266,0.0682137045322807,1.7506162635279628e-05,0.0007567514671383339,8.063461968145211e-06
Ssulfur,S,1,2.588204671643708,1,1,1,x,1,x,2.588204671643708,0.962738768838255,2.5882046716437066,0.962738768838252,0.1157741890616929,9.059122469586964e-05,0.0682137045322807,1.7506162635279628e-05,0.007897387288198544,7.583493282138895e-06
Namine,N,1,10.140047215249394,1,x,1,1,x,1,10.140047215249394,0.9207643319101544,10.140047215249266,0.9207643319101535,0.05443590321802998,4.4213636947630746e-05,0.0682137045322807,1.7506162635279628e-05,0.003713274813563256,3.3847296841017245e-06
Hmethyl,H,3,-250.13198646708628,1,1,1,x,1,x,-250.13198646708628,12.41262100666054,-250.13198646708628,12.412621006660547,0.005136778299983548,8.532926715595054e-05,0.0682137045322807,1.7506162635279628e-05,0.00035039832536365987,5.80016954399234e-06
Hgamma,H,2,-99.40958493702412,1,1,1,1,1,1,-99.40958493702412,21.58473873576455,-99.4095849370241,21.584738735764557,0.004112836177958651,9.84841737542981e-05,0.0682137045322807,1.7506162635279628e-05,0.000280551926100418,6.7240778109653705e-06
Halphabeta,H,3,-0.7441160412266888,1,1,1,1,x,1,-0.7441160412266888,27.022430305616005,-0.7441160412266881,27.022430305616002,0.006845122869340822,0.00018450460972446216,0.0682137045322807,1.7506162635279628e-05,0.0004669322894562562,1.2627041233208237e-05
Hamine,H,2,101.21404190715293,1,x,1,1,x,x,101.21404190715293,47.45955192913229,101.21404190715289,47.45955192913228,0.005029073265023305,0.0002172518546962944,0.0682137045322807,1.7506162635279628e-05,0.00034305019833491643,1.4784599616963291e-05
Hhydroxyl,H,1,251.7537799237842,1,1,x,1,x,1,251.7537799237842,55.63732973550017,251.7537799237842,55.63732973550015,0.0028582781657818085,0.00012722947428413955,0.0682137045322807,1.7506162635279628e-05,0.00019497316876092868,8.666070479601508e-06
Hprotonated,H,1,-3.4950110360354687,1,x,x,x,x,x,-3.4950110360354687,112.55161201754288,-3.495011036035469,112.5516120175429,0.0022753989557613473,0.000256711420875777,0.0682137045322807,1.7506162635279628e-05,0.0001552156170810272,1.753103908785248e-05
,Stochastic U,Composition,Number,Condensed,M2 M+N Relative Abundance,M2 M+N Relative Abundance Error,UM2,UM2 Error,U Values,U Values Error,Deltas,Deltas Error,Clumped Deltas Stochastic,Clumped Deltas Stochastic Error,Clumped Deltas Relative,Clumped Deltas Relative Error
13C Cgamma   |   13C Calphabeta   |   13C Calphabeta,1.2690488897507213e-06,13C13C13C,1,011100000000000000000,0.0004266195855198168,8.355078802444955e-07,0.002975476240073997,6.105599739458686e-06,1.2693964810650349e-06,3.614939595235037e-09,,,0.2738990728583486,2.848542419784253,-4.693875156452065,2.834395379021502
13C Cmethyl   |   13C Ccarboxyl   |   15N Namine,4.3207994010904817e-07,13C13C15N,1,100010001000000000000,0.00014404403464919158,5.097948112781679e-06,0.002975476240073997,6.105599739458686e-06,4.2860427278963074e-07,1.5326309663174633e-08,,,-8.044037680945339,35.471004877723736,-8.588578425865629,35.45153283647099
13C Cmethyl   |   13C Cgamma   |   33S Ssulfur,9.099985784960932e-07,13C13C33S,1,110000010000000000000,0.0003058243910262469,5.127355475634964e-07,0.002975476240073997,6.105599739458686e-06,9.099731917259767e-07,2.4047433009264253e-09,,,-0.027897593157754755,2.642579183915452,-17.707842130487467,2.5958572270781803
13C Cmethyl   |   18O Ocarboxyl,4.250147502852646e-05,13C18O,1,100000200000000000000,0.014063159948977406,0.00018900412052581133,0.002975476240073997,6.105599739458686e-06,4.1844102390516016e-05,5.311885827234722e-07,,,-15.467054674436902,12.498121120900986,-37.87161682108825,12.213707142984784
13C Ccarboxyl   |   34S Ssulfur,0.00048356904925378176,13C34S,1,000010020000000000000,0.1620427137507602,0.0011518405100316568,0.002975476240073997,6.105599739458686e-06,0.00048215401281287337,3.5356254674662563e-06,,,-2.9262345120967304,7.311521431990414,6.740671125900201,7.3824086523744095
13C Calphabeta   |   34S Ssulfur,0.0009627476225050151,13C34S,1,000100020000000000000,0.3236047216903202,0.0008746714433840755,0.002975476240073997,6.105599739458686e-06,0.0009628781999008975,3.279169731606182e-06,,,0.13562993335803417,3.4060533154825836,5.247928483946529,3.4234637155391563
17O Ocarboxyl   |   34S Ssulfur,3.358806980068632e-05,17O34S,1,000000120000000000000,0.011648163639545808,0.0008706488311199842,0.002975476240073997,6.105599739458686e-06,3.465996062198218e-05,2.606087905545213e-06,,,31.91284368695506,77.58968946444081,32.93773181848032,77.66675096468992
18O Ocarboxyl   |   15N Namine,1.4776813872154678e-05,18O15N,1,000000201000000000000,0.004881756975563428,9.97901737833021e-06,0.002975476240073997,6.105599739458686e-06,1.4525554486812345e-05,4.296139059486191e-08,,,-17.003623887811862,2.9073514065043504,-14.697634435807505,2.9141716978498646
18O Ocarboxyl   |   33S Ssulfur,3.142730551689133e-05,18O33S,1,000000210000000000000,0.010549521319732615,2.2200001853100204e-05,0.002975476240073997,6.105599739458686e-06,3.138977625472044e-05,6.229176210363711e-08,,,-1.1941609868749148,1.9820904490255147,-6.335708992330112,1.9718872515703536
34S Ssulfur   |   15N Namine,0.00016481201430468303,34S15N,1,000000021000000000000,0.05537326071933932,0.00011377221659130873,0.002975476240073997,6.105599739458686e-06,0.00016476112771678024,1.5778980862600022e-08,,,-0.30875533023169777,0.09573926348251377,14.903194031379652,0.0971960941147483
,Stochastic U,Composition,Number,Condensed,M4 M+N Relative Abundance,M4 M+N Relative Abundance Error,UM4,UM4 Error,U Values,U Values Error,Deltas,Deltas Error,Clumped Deltas Stochastic,Clumped Deltas Stochastic Error,Clumped Deltas Relative,Clumped Deltas Relative Error
13C Cmethyl   |   13C Cgamma   |   13C Calphabeta   |   13C Calphabeta,1.3553724228263519e-08,13C13C13C13C,1,111100000000000000000,3.6794192676601664e-05,6.856930146012893e-08,0.0003590268374955258,4.6120854673678087e-07,1.3210102524651438e-08,2.9851343307911255e-11,,,-25.35256714870711,2.2024458226516366,-44.89298037304459,2.1582896488104697
13C Cgamma   |   13C Calphabeta   |   13C Calphabeta   |   15N Namine,4.712327279491768e-09,13C13C13C15N,1,011100001000000000000,1.3120585764075348e-05,2.7018529521057665e-08,0.0003590268374955258,4.6120854673678087e-07,4.71064317879386e-09,1.174401847337224e-11,,,-0.3573819469701063,2.492190753490883,4.764060697870371,2.5049589286101734
13C Cmethyl   |   13C Cgamma   |   34S Ssulfur,5.114333600251693e-06,13C13C34S,1,110000020000000000000,0.01423742459748887,2.3574233784223386e-05,0.0003590268374955258,4.6120854673678087e-07,5.111616549678621e-06,1.0235153813366307e-08,,,-0.5312618975288852,2.0012683202485246,-15.815415975956018,1.9706643681759208
13C Cmethyl   |   18O Ocarboxyl   |   15N Namine,1.5781965676271502e-07,13C18O15N,1,100000201000000000000,0.0004391806214081464,6.9147218240782316e-06,0.0003590268374955258,4.6120854673678087e-07,1.5767762872363586e-07,2.4906612841131247e-09,,,-0.8999388415390697,15.781692440618356,-13.735621046210365,15.578941188071383
13C Ccarboxyl   |   34S Ssulfur   |   15N Namine,1.7956247712127975e-06,13C34S15N,1,000010021000000000000,0.005112300272139558,0.000837307701545202,0.0003590268374955258,4.6120854673678087e-07,1.8352683608696373e-06,2.9951663550126086e-07,,,22.077880798037228,166.80357739716518,42.45160725946571,170.12857886967922
15N Namine   |   D Hamine   |   D Hamine   |   D Hprotonated,1.6956954930382527e-14,15NDDD,1,000000001000000001101,4.7282298538432985e-11,9.14216786896466e-14,0.0003590268374955258,4.6120854673678087e-07,1.697561539746809e-14,3.9957989137573814e-17,,,1.1004609708611173,2.356436594991429,222.0309603509139,2.8764730288814007
18O Ocarboxyl   |   18O Ocarboxyl,3.9590175866824635e-06,18O18O,1,000002200000000000000,0.010717846944710724,1.993870797215083e-05,0.0003590268374955258,4.6120854673678087e-07,3.84799491612008e-06,8.796802192631064e-09,,,-28.042984940466486,2.221965929684721,-42.98422243994741,2.1878091509827953
18O Ocarboxyl   |   34S Ssulfur,0.0001766263468631371,18O34S,1,000000220000000000000,0.4832717870235541,0.0006295743543995896,0.0003590268374955258,4.6120854673678087e-07,0.00017350755042696875,3.223698944007733e-07,,,-17.657594642914876,1.8251517971470546,-20.33847268254524,1.8201708359819029
36S Ssulfur,0.0001062792315560097,36S,1,000000040000000000000,0.29592588649975815,0.00037975345864220373,0.0003590268374955258,4.6120854673678087e-07,0.0001062451605419934,1.0566636492779115e-08,9.22507496621551,0.100372708292448,,,9.225074966215256,0.10037270829244403
